price,count,add_cost,company,product
64.4,100,4.42,OfficePlus,Mouse Compact
652.77,71,19.04,ElectroTech,Smartphone X207
583.96,74,41.15,HomeSystems,"Smart TV 55"""
942.64,46,66.17,HomeSystems,"Smart TV 50"""
112.55,76,12.24,GadgetWorld,Wireless Earbuds Pro
42.81,91,5.39,GadgetWorld,Wireless Earbuds Lite
636.36,74,85.32,OfficePlus,Mouse Gaming
869.32,62,37.44,ElectroTech,Smartphone X203
531.85,69,64.32,ElectroTech,Smartphone X202
440.41,85,51.8,OfficePlus,Mouse Compact
616.91,78,52.86,ElectroTech,Smartphone X200
401.42,94,8.59,HomeSystems,"Smart TV 50"""
286.87,85,23.73,AudioMasters,Headphones Pro
610.39,77,56.14,OfficePlus,Mouse Ergo
974.76,52,145.7,OfficePlus,Mouse Gaming
316.53,70,31.77,AudioMasters,Headphones Elite
91.31,101,11.58,OfficePlus,Mouse Compact
986.91,48,67.76,OfficePlus,Mouse Gaming
700.37,72,21.61,ElectroTech,Smartphone X212
908.23,54,31.29,HomeSystems,"Smart TV 43"""
69.71,83,2.47,AudioMasters,Headphones Pro
1004.02,68,96.22,ElectroTech,Smartphone X202
748.52,48,108.7,ElectroTech,Smartphone X208
233.08,94,23.73,AudioMasters,Headphones Elite
592.63,50,81.28,OfficePlus,Mouse Gaming
267.05,77,14.97,AudioMasters,Headphones Travel
591.98,75,17.82,GadgetWorld,Wireless Earbuds Max
868.65,61,109.27,ElectroTech,Smartphone X204
941.72,55,69.84,HomeSystems,"Smart TV 65"""
879.13,48,80.62,GadgetWorld,Wireless Earbuds Max
543.03,72,79.33,ElectroTech,Smartphone X201
1003.08,51,27.41,ElectroTech,Smartphone X204
852.65,56,44.47,OfficePlus,Mouse Gaming
614.05,74,30.53,HomeSystems,"Smart TV 65"""
89.75,96,9.63,AudioMasters,Headphones Studio
855.14,59,78.46,HomeSystems,"Smart TV 43"""
896.81,48,100.02,ElectroTech,Smartphone X200
172.71,88,16.7,AudioMasters,Headphones Pro
556.5,86,43.75,GadgetWorld,Wireless Earbuds Max
703.69,64,86.93,GadgetWorld,Wireless Earbuds Air
1005.29,46,28.76,ElectroTech,Smartphone X211
94.35,82,3.47,HomeSystems,"Smart TV 50"""
293.78,98,21.6,AudioMasters,Headphones Travel
208.44,79,5.28,GadgetWorld,Wireless Earbuds Pro
106.93,93,3.82,OfficePlus,Mouse Gaming
513.35,78,56.34,GadgetWorld,Wireless Earbuds Pro
22.54,82,3.0,HomeSystems,"Smart TV 65"""
237.81,80,33.32,AudioMasters,Headphones Studio
81.09,83,3.18,GadgetWorld,Wireless Earbuds Pro
125.03,95,9.77,HomeSystems,"Smart TV 55"""
771.96,54,47.76,ElectroTech,Smartphone X206
361.68,87,35.14,AudioMasters,Headphones Elite
105.18,97,9.45,OfficePlus,Mouse Gaming
792.83,55,29.01,ElectroTech,Smartphone X211
579.36,64,38.41,GadgetWorld,Wireless Earbuds Max
115.3,84,6.58,AudioMasters,Headphones Pro
37.88,100,4.19,HomeSystems,"Smart TV 50"""
875.14,57,123.24,ElectroTech,Smartphone X213
774.1,57,34.3,HomeSystems,"Smart TV 65"""
653.37,56,33.66,ElectroTech,Smartphone X203
171.28,92,14.14,OfficePlus,Mouse Gaming
151.73,102,4.28,GadgetWorld,Wireless Earbuds Max
765.02,61,74.54,OfficePlus,Mouse Wireless
855.67,49,121.49,ElectroTech,Smartphone X204
323.53,91,41.29,AudioMasters,Headphones Travel
202.68,94,10.26,HomeSystems,"Smart TV 65"""
709.4,69,68.44,ElectroTech,Smartphone X212
315.35,84,36.96,HomeSystems,"Smart TV 65"""
924.41,56,127.42,ElectroTech,Smartphone X214
348.21,91,13.27,HomeSystems,"Smart TV 50"""
362.86,71,44.46,AudioMasters,Headphones Pro
749.07,64,18.25,OfficePlus,Mouse Ergo
355.24,69,45.03,HomeSystems,"Smart TV 43"""
225.8,88,20.36,AudioMasters,Headphones Travel
31.96,100,3.13,OfficePlus,Mouse Gaming
830.26,55,120.12,HomeSystems,"Smart TV 65"""
622.65,58,86.26,GadgetWorld,Wireless Earbuds Lite
468.33,79,53.57,ElectroTech,Smartphone X214
372.87,71,41.74,AudioMasters,Headphones Elite
435.65,77,50.42,GadgetWorld,Wireless Earbuds Pro
842.12,71,30.49,OfficePlus,Mouse Gaming
391.72,72,45.73,HomeSystems,"Smart TV 65"""
131.98,92,9.75,GadgetWorld,Wireless Earbuds Pro
595.33,84,14.45,HomeSystems,"Smart TV 32"""
955.82,46,53.61,ElectroTech,Smartphone X206
695.27,64,102.08,ElectroTech,Smartphone X206
398.91,82,34.02,AudioMasters,Headphones Studio
803.79,59,52.58,HomeSystems,"Smart TV 50"""
839.83,53,80.93,OfficePlus,Mouse Gaming
543.77,73,44.88,GadgetWorld,Wireless Earbuds Lite
167.03,99,4.98,AudioMasters,Headphones Elite
420.56,69,9.8,HomeSystems,"Smart TV 43"""
46.55,89,2.27,OfficePlus,Mouse Compact
122.03,84,15.13,OfficePlus,Mouse Compact
258.31,98,29.42,GadgetWorld,Wireless Earbuds Air
283.83,80,13.24,AudioMasters,Headphones Travel
741.19,66,96.54,GadgetWorld,Wireless Earbuds Air
575.2,68,73.2,ElectroTech,Smartphone X214
170.82,88,20.6,AudioMasters,Headphones Elite
975.06,41,118.34,HomeSystems,"Smart TV 55"""
495.08,82,42.88,HomeSystems,"Smart TV 32"""
970.87,54,46.93,ElectroTech,Smartphone X206
902.56,59,99.15,GadgetWorld,Wireless Earbuds Lite
584.99,72,32.54,OfficePlus,Mouse Gaming
222.29,77,4.76,GadgetWorld,Wireless Earbuds Max
608.51,61,64.78,HomeSystems,"Smart TV 43"""
395.48,59,34.59,GadgetWorld,Wireless Earbuds Pro
101.14,87,9.95,HomeSystems,"Smart TV 32"""
724.66,65,42.48,HomeSystems,"Smart TV 55"""
230.64,82,5.55,OfficePlus,Mouse Compact
506.44,70,49.42,HomeSystems,"Smart TV 32"""
93.64,95,10.74,OfficePlus,Mouse Wireless
261.47,96,33.07,GadgetWorld,Wireless Earbuds Pro
373.75,97,11.92,GadgetWorld,Wireless Earbuds Max
457.09,78,20.14,GadgetWorld,Wireless Earbuds Pro
665.61,76,73.21,OfficePlus,Mouse Wireless
864.44,58,37.58,ElectroTech,Smartphone X211
311.4,84,43.65,OfficePlus,Mouse Ergo
531.99,77,55.22,HomeSystems,"Smart TV 43"""
218.37,90,29.49,AudioMasters,Headphones Travel
160.35,101,14.45,AudioMasters,Headphones Studio
888.26,49,88.88,GadgetWorld,Wireless Earbuds Pro
40.84,99,5.46,GadgetWorld,Wireless Earbuds Lite
997.98,56,65.46,HomeSystems,"Smart TV 50"""
634.96,66,84.82,OfficePlus,Mouse Compact
254.0,83,8.73,OfficePlus,Mouse Wireless
131.76,91,3.36,AudioMasters,Headphones Pro
384.75,74,47.61,AudioMasters,Headphones Travel
989.4,37,115.4,HomeSystems,"Smart TV 65"""
245.96,75,31.48,OfficePlus,Mouse Ergo
831.15,66,20.59,ElectroTech,Smartphone X209
743.99,67,88.22,ElectroTech,Smartphone X208
239.34,91,21.49,HomeSystems,"Smart TV 65"""
879.91,63,47.98,GadgetWorld,Wireless Earbuds Air
105.25,91,7.69,OfficePlus,Mouse Ergo
505.96,67,15.45,OfficePlus,Mouse Compact
854.18,57,72.07,OfficePlus,Mouse Wireless
360.85,84,39.02,GadgetWorld,Wireless Earbuds Air
853.57,62,113.31,HomeSystems,"Smart TV 55"""
623.96,72,67.65,ElectroTech,Smartphone X204
962.09,62,77.46,OfficePlus,Mouse Ergo
748.64,63,30.62,HomeSystems,"Smart TV 65"""
339.9,70,31.54,OfficePlus,Mouse Gaming
145.88,104,8.29,OfficePlus,Mouse Ergo
793.03,52,33.77,OfficePlus,Mouse Wireless
695.69,69,20.67,ElectroTech,Smartphone X209
602.51,54,42.1,HomeSystems,"Smart TV 50"""
689.63,64,53.77,HomeSystems,"Smart TV 50"""
312.41,92,40.36,OfficePlus,Mouse Wireless
870.69,55,126.44,HomeSystems,"Smart TV 50"""
729.93,56,85.37,GadgetWorld,Wireless Earbuds Max
352.53,109,28.74,AudioMasters,Headphones Pro
793.76,67,96.01,ElectroTech,Smartphone X212
369.14,72,53.81,AudioMasters,Headphones Elite
698.54,65,32.18,ElectroTech,Smartphone X213
598.46,69,45.68,OfficePlus,Mouse Wireless
975.21,55,111.02,GadgetWorld,Wireless Earbuds Lite
367.74,89,41.98,AudioMasters,Headphones Pro
249.82,87,5.59,AudioMasters,Headphones Elite
1070.14,60,129.33,ElectroTech,Smartphone X209
729.33,68,45.13,ElectroTech,Smartphone X200
676.98,68,97.28,GadgetWorld,Wireless Earbuds Air
961.27,68,136.09,ElectroTech,Smartphone X201
264.29,91,21.93,AudioMasters,Headphones Pro
463.27,77,48.02,GadgetWorld,Wireless Earbuds Lite
79.15,85,4.13,HomeSystems,"Smart TV 43"""
976.35,44,62.29,GadgetWorld,Wireless Earbuds Air
564.26,64,64.04,HomeSystems,"Smart TV 55"""
50.04,96,2.68,OfficePlus,Mouse Gaming
849.32,63,86.41,GadgetWorld,Wireless Earbuds Pro
240.16,90,20.85,AudioMasters,Headphones Travel
614.06,77,60.0,GadgetWorld,Wireless Earbuds Max
298.18,82,19.89,HomeSystems,"Smart TV 50"""
251.08,85,30.35,OfficePlus,Mouse Ergo
385.39,78,33.39,GadgetWorld,Wireless Earbuds Max
770.01,63,74.75,ElectroTech,Smartphone X213
672.87,64,40.76,ElectroTech,Smartphone X210
596.64,68,58.37,OfficePlus,Mouse Ergo
92.03,96,3.87,HomeSystems,"Smart TV 43"""
1128.46,38,161.73,ElectroTech,Smartphone X200
261.94,88,17.39,AudioMasters,Headphones Elite
254.87,78,33.87,AudioMasters,Headphones Travel
75.95,115,6.76,GadgetWorld,Wireless Earbuds Lite
935.2,53,57.14,HomeSystems,"Smart TV 65"""
986.9,54,143.56,GadgetWorld,Wireless Earbuds Max
355.8,70,31.73,HomeSystems,"Smart TV 43"""
378.94,71,43.68,AudioMasters,Headphones Travel
249.87,80,36.29,OfficePlus,Mouse Compact
689.58,68,58.36,GadgetWorld,Wireless Earbuds Air
611.01,72,21.2,ElectroTech,Smartphone X211
658.21,65,22.29,OfficePlus,Mouse Compact
1042.06,46,139.85,ElectroTech,Smartphone X204
767.04,60,94.89,HomeSystems,"Smart TV 43"""
868.03,54,53.99,ElectroTech,Smartphone X204
400.79,73,31.39,OfficePlus,Mouse Ergo
75.62,101,7.44,AudioMasters,Headphones Pro
893.36,68,116.25,ElectroTech,Smartphone X202
808.76,60,31.84,ElectroTech,Smartphone X211
188.03,98,17.19,AudioMasters,Headphones Studio
825.95,70,62.78,HomeSystems,"Smart TV 65"""
771.67,61,25.61,ElectroTech,Smartphone X203
157.55,93,19.6,AudioMasters,Headphones Pro
300.65,83,16.67,AudioMasters,Headphones Pro
197.81,96,17.46,HomeSystems,"Smart TV 55"""
271.43,86,39.41,GadgetWorld,Wireless Earbuds Pro
882.96,58,22.64,ElectroTech,Smartphone X211
327.81,74,34.11,AudioMasters,Headphones Elite
774.55,55,71.54,GadgetWorld,Wireless Earbuds Max
435.26,64,46.48,HomeSystems,"Smart TV 55"""
621.86,79,72.01,ElectroTech,Smartphone X206
846.47,61,19.53,ElectroTech,Smartphone X205
271.75,67,27.76,HomeSystems,"Smart TV 43"""
682.32,65,52.92,HomeSystems,"Smart TV 65"""
822.33,55,80.93,HomeSystems,"Smart TV 55"""
279.6,89,29.05,OfficePlus,Mouse Gaming
974.29,59,75.52,ElectroTech,Smartphone X210
274.06,89,15.14,AudioMasters,Headphones Studio
209.9,69,9.39,AudioMasters,Headphones Elite
567.27,71,65.23,ElectroTech,Smartphone X202
385.17,86,16.48,AudioMasters,Headphones Pro
434.24,75,55.08,GadgetWorld,Wireless Earbuds Lite
742.44,56,89.03,HomeSystems,"Smart TV 65"""
139.97,105,17.14,AudioMasters,Headphones Pro
105.76,81,2.98,AudioMasters,Headphones Pro
393.29,73,25.57,OfficePlus,Mouse Gaming
294.11,98,41.91,HomeSystems,"Smart TV 55"""
854.4,71,40.25,HomeSystems,"Smart TV 55"""
393.01,92,52.72,GadgetWorld,Wireless Earbuds Pro
78.32,85,5.67,AudioMasters,Headphones Pro
976.1,59,100.86,GadgetWorld,Wireless Earbuds Lite
646.49,77,88.42,ElectroTech,Smartphone X203
828.7,48,88.36,HomeSystems,"Smart TV 32"""
131.39,102,3.99,AudioMasters,Headphones Elite
377.76,75,50.58,AudioMasters,Headphones Elite
627.2,59,65.56,OfficePlus,Mouse Ergo
470.6,69,12.97,HomeSystems,"Smart TV 43"""
845.26,46,50.23,ElectroTech,Smartphone X211
228.3,98,34.15,AudioMasters,Headphones Elite
268.36,85,23.75,AudioMasters,Headphones Elite
207.42,86,9.4,AudioMasters,Headphones Studio
773.92,59,16.59,OfficePlus,Mouse Wireless
687.36,68,30.7,OfficePlus,Mouse Gaming
636.71,52,29.19,GadgetWorld,Wireless Earbuds Lite
922.42,48,78.33,ElectroTech,Smartphone X202
163.64,91,18.96,AudioMasters,Headphones Pro
210.81,98,25.73,AudioMasters,Headphones Elite
603.79,63,46.42,ElectroTech,Smartphone X201
903.73,58,72.29,GadgetWorld,Wireless Earbuds Max
621.65,69,17.82,HomeSystems,"Smart TV 32"""
205.15,94,5.38,AudioMasters,Headphones Elite
957.37,49,110.94,HomeSystems,"Smart TV 32"""
779.16,53,82.57,HomeSystems,"Smart TV 55"""
667.1,61,79.63,OfficePlus,Mouse Wireless
153.41,96,18.41,AudioMasters,Headphones Elite
138.96,101,13.89,GadgetWorld,Wireless Earbuds Air
61.11,106,8.92,GadgetWorld,Wireless Earbuds Air
496.3,76,69.3,GadgetWorld,Wireless Earbuds Lite
62.86,100,2.16,GadgetWorld,Wireless Earbuds Air
400.88,74,16.55,HomeSystems,"Smart TV 55"""
223.62,84,4.84,AudioMasters,Headphones Travel
240.41,95,24.69,AudioMasters,Headphones Elite
112.1,71,10.18,AudioMasters,Headphones Travel
731.46,56,92.39,OfficePlus,Mouse Wireless
194.7,97,23.08,AudioMasters,Headphones Elite
111.88,107,10.63,HomeSystems,"Smart TV 65"""
29.14,83,1.52,GadgetWorld,Wireless Earbuds Lite
219.95,96,20.27,GadgetWorld,Wireless Earbuds Lite
368.28,83,44.89,HomeSystems,"Smart TV 43"""
54.61,93,6.39,GadgetWorld,Wireless Earbuds Lite
996.41,49,67.64,HomeSystems,"Smart TV 50"""
403.7,85,29.73,HomeSystems,"Smart TV 43"""
327.97,86,10.52,AudioMasters,Headphones Travel
588.38,72,54.72,HomeSystems,"Smart TV 65"""
808.89,68,44.55,GadgetWorld,Wireless Earbuds Lite
751.01,55,110.89,HomeSystems,"Smart TV 65"""
164.5,90,10.31,HomeSystems,"Smart TV 65"""
259.38,91,29.99,AudioMasters,Headphones Elite
324.98,81,11.5,AudioMasters,Headphones Travel
951.31,44,44.12,HomeSystems,"Smart TV 32"""
527.72,91,31.05,OfficePlus,Mouse Gaming
389.38,80,31.16,GadgetWorld,Wireless Earbuds Air
150.81,99,4.6,OfficePlus,Mouse Compact
935.03,56,38.02,ElectroTech,Smartphone X207
215.22,83,4.68,AudioMasters,Headphones Travel
136.44,86,18.8,AudioMasters,Headphones Studio
781.18,61,22.26,GadgetWorld,Wireless Earbuds Pro
367.25,82,13.99,AudioMasters,Headphones Pro
670.51,68,97.39,GadgetWorld,Wireless Earbuds Max
430.42,72,23.17,GadgetWorld,Wireless Earbuds Lite
574.02,67,46.1,GadgetWorld,Wireless Earbuds Pro
240.81,99,12.67,GadgetWorld,Wireless Earbuds Pro
916.72,63,32.01,ElectroTech,Smartphone X207
856.92,56,26.24,ElectroTech,Smartphone X206
946.78,56,123.55,OfficePlus,Mouse Wireless
754.3,69,43.58,HomeSystems,"Smart TV 65"""
978.5,51,120.57,HomeSystems,"Smart TV 43"""
553.95,79,65.7,OfficePlus,Mouse Compact
881.99,50,117.46,OfficePlus,Mouse Ergo
776.57,46,18.27,GadgetWorld,Wireless Earbuds Max
186.75,87,23.12,AudioMasters,Headphones Elite
111.54,85,8.63,HomeSystems,"Smart TV 43"""
315.12,79,17.63,AudioMasters,Headphones Travel
458.65,67,42.43,GadgetWorld,Wireless Earbuds Lite
899.24,55,37.72,OfficePlus,Mouse Ergo
661.21,65,26.3,OfficePlus,Mouse Compact
807.53,63,69.19,HomeSystems,"Smart TV 32"""
663.01,71,24.45,GadgetWorld,Wireless Earbuds Air
338.04,80,15.98,AudioMasters,Headphones Elite
153.77,78,21.43,AudioMasters,Headphones Elite
1071.73,49,147.01,ElectroTech,Smartphone X210
831.68,50,52.88,GadgetWorld,Wireless Earbuds Lite
724.7,76,54.07,GadgetWorld,Wireless Earbuds Lite
621.5,71,47.62,GadgetWorld,Wireless Earbuds Lite
345.31,69,18.31,AudioMasters,Headphones Studio
111.21,86,14.6,AudioMasters,Headphones Studio
869.06,53,41.73,HomeSystems,"Smart TV 55"""
1018.69,43,140.04,ElectroTech,Smartphone X204
364.6,94,38.14,AudioMasters,Headphones Elite
401.96,72,27.87,HomeSystems,"Smart TV 50"""
977.26,49,33.61,HomeSystems,"Smart TV 50"""
294.44,79,38.74,GadgetWorld,Wireless Earbuds Lite
808.81,55,18.07,GadgetWorld,Wireless Earbuds Air
355.46,88,12.31,AudioMasters,Headphones Studio
722.65,65,18.79,ElectroTech,Smartphone X213
311.29,91,18.36,HomeSystems,"Smart TV 65"""
348.29,85,37.2,AudioMasters,Headphones Travel
798.69,70,19.57,OfficePlus,Mouse Gaming
834.75,47,81.69,OfficePlus,Mouse Compact
675.82,77,86.37,OfficePlus,Mouse Wireless
441.82,76,27.04,OfficePlus,Mouse Ergo
779.38,64,77.1,ElectroTech,Smartphone X202
252.68,73,21.88,OfficePlus,Mouse Ergo
659.18,69,94.64,OfficePlus,Mouse Ergo
942.93,39,96.59,ElectroTech,Smartphone X207
708.23,60,27.06,ElectroTech,Smartphone X212
484.8,77,46.93,HomeSystems,"Smart TV 65"""
794.44,69,101.95,ElectroTech,Smartphone X213
580.61,66,50.31,OfficePlus,Mouse Wireless
831.98,55,28.95,ElectroTech,Smartphone X207
687.2,55,57.84,ElectroTech,Smartphone X206
529.53,79,73.07,ElectroTech,Smartphone X207
562.38,83,63.77,ElectroTech,Smartphone X212
78.33,102,7.71,OfficePlus,Mouse Ergo
699.46,66,68.21,ElectroTech,Smartphone X214
162.38,89,19.08,AudioMasters,Headphones Pro
890.28,55,87.1,GadgetWorld,Wireless Earbuds Lite
840.11,50,33.66,ElectroTech,Smartphone X208
539.39,78,68.92,OfficePlus,Mouse Gaming
102.7,111,7.39,HomeSystems,"Smart TV 32"""
957.19,39,69.4,ElectroTech,Smartphone X206
457.49,86,56.63,GadgetWorld,Wireless Earbuds Lite
749.69,74,24.63,ElectroTech,Smartphone X214
46.87,98,3.33,HomeSystems,"Smart TV 32"""
276.01,82,7.13,AudioMasters,Headphones Elite
26.58,108,1.86,GadgetWorld,Wireless Earbuds Max
816.07,61,105.62,ElectroTech,Smartphone X205
99.19,122,8.25,AudioMasters,Headphones Elite
400.23,79,16.33,HomeSystems,"Smart TV 50"""
133.82,88,19.31,OfficePlus,Mouse Gaming
339.35,80,50.2,AudioMasters,Headphones Pro
103.95,96,9.56,AudioMasters,Headphones Elite
369.06,87,47.05,HomeSystems,"Smart TV 50"""
683.84,75,34.57,OfficePlus,Mouse Gaming
979.5,58,93.82,ElectroTech,Smartphone X211
739.89,59,43.7,OfficePlus,Mouse Wireless
736.2,73,28.89,HomeSystems,"Smart TV 65"""
911.27,55,103.77,HomeSystems,"Smart TV 50"""
794.7,68,28.79,OfficePlus,Mouse Gaming
970.22,52,139.11,GadgetWorld,Wireless Earbuds Max
222.18,89,13.18,AudioMasters,Headphones Travel
920.36,53,61.75,HomeSystems,"Smart TV 50"""
384.62,68,17.72,AudioMasters,Headphones Studio
889.03,69,90.2,ElectroTech,Smartphone X200
728.25,53,80.13,OfficePlus,Mouse Gaming
166.69,92,19.22,AudioMasters,Headphones Pro
216.64,74,32.35,HomeSystems,"Smart TV 50"""
354.95,65,36.3,HomeSystems,"Smart TV 32"""
665.37,76,79.57,OfficePlus,Mouse Compact
358.94,80,10.8,ElectroTech,Smartphone X201
558.15,74,57.03,HomeSystems,"Smart TV 50"""
118.92,99,15.81,OfficePlus,Mouse Wireless
257.39,76,21.15,GadgetWorld,Wireless Earbuds Lite
148.35,110,18.46,AudioMasters,Headphones Pro
591.59,72,76.6,HomeSystems,"Smart TV 65"""
230.34,96,17.07,OfficePlus,Mouse Wireless
825.0,62,75.99,GadgetWorld,Wireless Earbuds Lite
249.96,81,14.85,GadgetWorld,Wireless Earbuds Max
370.88,79,42.16,AudioMasters,Headphones Elite
827.3,53,94.17,GadgetWorld,Wireless Earbuds Lite
884.05,58,99.86,ElectroTech,Smartphone X214
23.74,106,1.24,GadgetWorld,Wireless Earbuds Max
373.03,92,20.57,HomeSystems,"Smart TV 32"""
362.16,96,27.67,AudioMasters,Headphones Pro
81.25,96,8.88,AudioMasters,Headphones Studio
709.78,55,14.6,HomeSystems,"Smart TV 32"""
966.73,68,114.98,OfficePlus,Mouse Wireless
707.66,53,57.89,ElectroTech,Smartphone X204
201.46,81,16.02,AudioMasters,Headphones Travel
68.32,94,8.18,AudioMasters,Headphones Elite
383.74,87,51.06,GadgetWorld,Wireless Earbuds Max
313.91,81,7.74,AudioMasters,Headphones Elite
307.98,84,45.18,AudioMasters,Headphones Pro
62.15,107,6.63,OfficePlus,Mouse Compact
117.87,105,12.9,OfficePlus,Mouse Compact
503.01,76,36.5,GadgetWorld,Wireless Earbuds Air
880.09,54,22.37,OfficePlus,Mouse Ergo
320.52,93,28.13,AudioMasters,Headphones Travel
777.68,58,67.92,OfficePlus,Mouse Wireless
653.53,77,95.84,HomeSystems,"Smart TV 65"""
614.02,61,35.52,HomeSystems,"Smart TV 32"""
243.67,87,12.69,HomeSystems,"Smart TV 65"""
253.77,80,37.74,AudioMasters,Headphones Pro
275.61,94,25.62,AudioMasters,Headphones Pro
627.34,78,85.63,GadgetWorld,Wireless Earbuds Max
982.02,62,86.95,HomeSystems,"Smart TV 50"""
813.66,55,116.48,HomeSystems,"Smart TV 50"""
824.85,73,90.5,ElectroTech,Smartphone X214
742.54,61,19.15,ElectroTech,Smartphone X210
367.18,98,52.65,GadgetWorld,Wireless Earbuds Air
444.16,68,11.42,GadgetWorld,Wireless Earbuds Lite
67.49,108,8.75,AudioMasters,Headphones Elite
560.28,74,43.03,ElectroTech,Smartphone X203
33.91,105,4.33,GadgetWorld,Wireless Earbuds Lite
869.33,54,62.05,ElectroTech,Smartphone X210
131.21,101,10.44,AudioMasters,Headphones Studio
342.39,80,41.76,AudioMasters,Headphones Elite
237.63,99,14.69,HomeSystems,"Smart TV 65"""
260.89,101,18.88,HomeSystems,"Smart TV 65"""
103.83,118,15.44,AudioMasters,Headphones Elite
1138.51,24,36.2,ElectroTech,Smartphone X212
369.98,74,45.28,HomeSystems,"Smart TV 43"""
663.5,59,34.01,HomeSystems,"Smart TV 43"""
227.09,64,11.06,AudioMasters,Headphones Studio
753.89,64,100.03,ElectroTech,Smartphone X205
526.36,68,62.45,HomeSystems,"Smart TV 65"""
412.92,80,49.22,GadgetWorld,Wireless Earbuds Max
735.49,60,75.52,ElectroTech,Smartphone X202
470.8,86,15.23,HomeSystems,"Smart TV 65"""
320.87,94,21.13,AudioMasters,Headphones Pro
812.95,57,21.06,ElectroTech,Smartphone X206
702.53,70,47.13,ElectroTech,Smartphone X208
448.73,58,60.47,OfficePlus,Mouse Wireless
306.1,82,31.61,AudioMasters,Headphones Pro
898.12,49,113.47,GadgetWorld,Wireless Earbuds Lite
820.09,52,52.33,ElectroTech,Smartphone X213
667.79,68,20.17,OfficePlus,Mouse Compact
785.02,79,75.28,HomeSystems,"Smart TV 43"""
561.73,79,63.41,ElectroTech,Smartphone X200
918.94,51,79.17,ElectroTech,Smartphone X214
196.59,99,6.44,GadgetWorld,Wireless Earbuds Max
853.46,34,55.3,GadgetWorld,Wireless Earbuds Air
896.27,45,36.26,ElectroTech,Smartphone X212
558.32,72,33.81,OfficePlus,Mouse Ergo
55.62,84,6.77,AudioMasters,Headphones Pro
632.92,55,82.04,ElectroTech,Smartphone X213
712.07,65,63.7,OfficePlus,Mouse Ergo
492.62,95,17.44,OfficePlus,Mouse Ergo
812.61,62,87.79,HomeSystems,"Smart TV 43"""
800.75,63,42.09,HomeSystems,"Smart TV 32"""
